分数,地区,标签
87.12632275,100,1
29.19605358,100,2
78.4000457,100,2
29.19605358,100,2
201.2712239,100,2
78.4000457,100,1
29.19605358,100,2
52.56603394,100,1
78.4000457,100,1
70.37801444,100,1
52.56603394,100,1
11.83008823,100,1
37.92439637,100,1
52.56603394,100,1
11.83008823,100,1
37.92439637,100,1
63.17633062,100,1
1.09998458,100,1
42.13438693,100,1
11.83008823,100,1
37.92439637,100,1
74.10132555,0,2
72.52398318,100,1
108.6440881,100,3
74.10132555,0,2
72.52398318,100,1
103.1950977,100,1
108.6440881,100,3
34.12738061,100,3
14.46484597,100,1
74.10132555,0,2
72.52398318,100,1
108.6440881,100,3
173.4239562,100,2
146.6436041,100,3
14.46484597,100,1
173.4239562,100,2
235.002465,100,2
14.46484597,100,1
168.9093114,100,2
316.0388225,100,2
173.4239562,100,2
235.002465,100,3
168.9093114,100,2
316.0388225,100,2
45.96393902,100,3
235.002465,100,3
58.05503884,100,3
74.05229974,100,3
168.9093114,100,2
316.0388225,100,2
178.8235696,100,2
58.05503884,100,3
74.05229974,100,3
178.8235696,100,2
58.05503884,100,3
74.05229974,100,3
87.15391534,100,3
41.00259366,100,1
36.8208254,100,3
178.8235696,100,2
87.15391534,100,3
41.00259366,100,1
36.8208254,100,3
87.15391534,100,3
41.00259366,100,1
43.05863273,0,1
289.0903383,100,3
36.8208254,100,3
24.37509889,100,3
43.05863273,0,1
289.0903383,100,2
23.9035825,100,1
65.95831088,100,3
43.05863273,0,1
289.0903383,100,3
17.63050445,100,3
154.7066784,100,1
65.95831088,100,3
11.16553212,100,2
17.63050445,100,3
154.7066784,100,1
7.149857276,100,1
65.95831088,100,3
176.8147446,100,2
17.63050445,100,3
154.7066784,100,1
7.149857276,100,1
160.8752188,0,2
176.8147446,100,2
7.149857276,100,1
176.8147446,100,2
332.8405907,100,3
98.74488131,100,1
20.44694773,100,1
332.8405907,100,3
98.74488131,100,1
557.456827,100,1
153.9703405,100,3
-4.745378357,100,1
332.8405907,100,3
98.74488131,100,1
557.456827,100,1
153.9703405,100,3
-4.745378357,100,1
21.7409274,100,1
557.456827,100,1
153.9703405,100,3
-4.745378357,100,1
194.1175491,100,3
25.1929502,100,2
168.5610258,100,3
115.9442016,100,3
194.1175491,100,3
25.1929502,100,2
168.5610258,100,3
22.57672866,100,2
194.1175491,100,3
360.0090872,100,1
25.1929502,100,2
168.5610258,100,3
34.93867488,100,1
22.57672866,100,2
209.215818,0,1
360.0090872,100,1
168.5610258,100,3
22.57672866,100,2
62.98166501,100,1
360.0090872,100,1
345.7190299,100,2
62.98166501,100,1
165.2796466,100,3
345.7190299,100,2
24.7011991,100,2
62.98166501,100,1
72.0726688,100,3
356.0965641,100,2
345.7190299,100,2
44.63744637,100,3
45.53992848,100,1
24.7011991,100,2
91.77309882,0,3
72.0726688,100,2
356.0965641,100,2
45.53992848,100,1
314.2886136,0,3
24.7011991,100,2
72.0726688,100,3
181.1645653,100,3
95.43540022,100,3
356.0965641,100,2
5.446404397,100,1
45.53992848,100,1
314.2886136,0,3
40.56466754,100,2
181.1645653,100,3
95.43540022,100,3
45.53992848,100,1
314.2886136,0,3
28.61612544,100,3
69.0602005,100,3
181.1645653,100,3
95.43540022,100,3
292.7689109,100,2
28.61612544,100,3
69.0602005,100,3
11.1710457,100,3
50.0306117,100,2
28.61612544,100,3
211.4636199,100,3
78.62310787,100,2
69.0602005,100,3
50.0306117,100,2
49.48004395,100,3
211.4636199,100,3
78.62310787,100,2
50.0306117,100,2
211.4636199,100,3
78.62310787,100,2
30.59612195,100,3
22.10649092,100,3
110.7413481,100,1
30.59612195,100,3
22.10649092,100,3
110.7413481,100,1
25.80035964,100,2
30.59612195,100,3
22.10649092,100,3
334.0883007,100,2
110.7413481,100,1
24.75656136,100,2
125.4257237,100,1
693.5592522,100,3
6.129795341,100,2
334.0883007,100,2
162.7835249,100,1
24.75656136,100,2
125.4257237,100,1
334.0883007,100,2
162.7835249,100,1
20.64799267,100,2
24.75656136,100,2
125.4257237,100,1
75.47182303,100,3
162.7835249,100,1
20.64799267,100,2
136.6630982,0,2
61.98006583,100,2
367.7910558,100,2
162.7835249,100,1
20.64799267,100,2
136.6630982,0,2
61.98006583,100,2
367.7910558,100,2
53.02792377,100,1
136.6630982,0,2
61.98006583,100,2
367.7910558,100,2
292.2495228,100,3
292.2495228,100,3
168.3471613,100,3
292.2495228,100,3
292.9628136,100,2
168.3471613,100,3
67.02581968,100,1
168.3471613,100,3
137.2753877,100,3
11.81736812,100,3
941.7407629,0,3
41.69362476,100,2
137.2753877,100,3
11.81736812,100,3
54.54043331,100,2
941.7407629,0,3
401.771245,0,3
137.2753877,100,3
11.81736812,100,3
3.898263415,100,1
941.7407629,0,3
401.771245,0,3
294.2013624,100,3
3.898263415,100,1
301.9876931,100,3
401.771245,0,3
3.898263415,100,1
153.4407339,100,3
401.771245,0,3
516.8460356,100,2
72.9702947,100,3
153.4407339,100,3
174.6030066,100,3
141.5661852,100,2
153.4407339,100,3
150.2134675,100,2
402.1505874,0,1
392.6777828,100,3
174.6030066,100,3
141.5661852,100,2
569.2898058,100,2
150.2134675,100,2
348.5834448,100,2
174.6030066,100,3
83.17060569,0,2
141.5661852,100,2
150.2134675,100,2
348.5834448,100,2
223.0405062,100,2
83.17060569,0,2
249.7154623,100,3
348.5834448,100,2
83.17060569,0,2
295.9828642,100,3
5.936804419,100,2
19.19749654,100,1
433.2539695,100,2
34.67735764,100,3
5.936804419,100,2
19.19749654,100,1
430.8903222,100,2
433.2539695,100,2
34.67735764,100,3
36.21785093,100,1
5.936804419,100,2
19.19749654,100,1
433.2539695,100,2
34.67735764,100,3
39.73813101,100,3
230.7228008,100,3
39.73813101,100,3
230.7228008,100,3
239.5730882,100,3
39.73813101,100,3
230.7228008,100,3
239.5730882,100,3
32.61846039,100,3
202.2500597,100,3
239.5730882,100,3
133.7538682,100,3
32.61846039,100,3
202.2500597,100,3
26.13742712,100,
133.7538682,100,
276.1038479,0,
63.00251478,100,
32.61846039,100,
202.2500597,100,
180.1172975,100,
133.7538682,100,
180.1172975,100,
52.22223023,100,
75.68575666,0,
145.9496124,100,
180.1172975,100,
37.5352828,100,
145.9496124,100,
71.76399414,100,
40.94211276,100,
37.5352828,100,
246.4873775,0,
145.9496124,100,
200.5513464,100,
37.5352828,100,
246.4873775,0,
31.0322122,100,
200.5513464,100,
253.6252852,0,
246.4873775,0,
200.5513464,100,
485.1652787,100,
40.37232314,100,
485.1652787,100,
105.374861,100,
54.83785632,0,
72.11479652,100,
485.1652787,100,
105.374861,100,
54.83785632,0,
72.11479652,100,
267.9467668,100,
33.83216393,100,
105.374861,100,
281.5967225,100,
251.0730429,100,
54.83785632,0,
72.11479652,100,
37.38471087,100,
-42.90101523,100,
157.0559921,100,
281.5967225,100,
251.0730429,100,
9.832973194,100,
37.38471087,100,
34.53223235,100,
281.5967225,100,
576.5180757,100,
251.0730429,100,
37.38471087,100,
63.23642573,0,
576.5180757,100,
63.23642573,0,
576.5180757,100,
98.02190587,0,
63.23642573,0,
71.55417194,100,
823.2023555,0,
98.02190587,0,
71.55417194,100,
413.4207793,0,
58.8925487,100,
98.02190587,0,
71.55417194,100,
83.65417871,100,
413.4207793,0,
58.8925487,100,
325.4718204,100,
413.4207793,0,
58.8925487,100,
158.9618951,100,
139.3741419,100,
30.91543799,100,
158.9618951,100,
139.3741419,100,
30.91543799,100,
620.3650616,0,
20.95993721,100,
158.9618951,100,
139.3741419,100,
30.91543799,100,
620.3650616,0,
20.95993721,100,
161.5503304,100,
620.3650616,0,
20.95993721,100,
161.5503304,100,
183.4967261,0,
161.5503304,100,
94.57118134,100,
183.4967261,0,
161.5503304,100,
316.4531008,0,
183.4967261,0,
38.69217928,100,
316.4531008,0,
183.4967261,0,
210.0433745,0,
316.4531008,0,
210.0433745,0,
188.2842288,100,
316.4531008,0,
210.0433745,0,
140.5997201,100,
780.2366769,100,
305.0082501,100,
247.361582,100,
140.5997201,100,
780.2366769,100,
140.5997201,100,
170.6103002,100,
780.2366769,100,
22.09500963,0,
124.7097744,100,
170.6103002,100,
63.99201688,100,
130.5909614,0,
27.25985693,100,
170.6103002,100,
130.5909614,0,
27.25985693,100,
27.22486568,0,
130.5909614,0,
27.25985693,100,
27.22486568,0,
34.77740122,0,
27.22486568,0,
52.28718993,100,
90.96278911,100,
150.6334915,0,
57.46216369,100,
52.28718993,100,
90.96278911,100,
150.6334915,0,
36.18087162,100,
57.46216369,100,
52.28718993,100,
90.96278911,100,
392.2666435,0,
150.6334915,0,
88.76543456,0,
57.46216369,100,
44.30809366,100,
392.2666435,0,
98.12475703,100,
88.76543456,0,
392.2666435,0,
27.88754817,0,
88.76543456,0,
27.88754817,0,
23.38213525,0,
55.16286655,100,
62.9368544,0,
27.88754817,0,
24.96064264,0,
55.16286655,100,
62.9368544,0,
24.96064264,0,
73.9417089,100,
55.16286655,100,
62.9368544,0,
93.20218364,0,
