日期,标题,分数
0120am,武汉：新增新型冠状病毒肺炎病例136例 死亡1例.txt,87.12632275
0120pm,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358
0120pm,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457
0121am,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358
0121am,钟南山肯定新型肺炎人传人:病毒可能来自“野味”.txt,201.2712239
0121am,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457
0121pm,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358
0121pm,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394
0121pm,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457
0122am,此前通报没提到武汉有医护人员感染?武汉市长回应.txt,70.37801444
0122am,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394
0122pm,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823
0122pm,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637
0122pm,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394
0123am,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823
0123am,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637
0123am,环球时报:武汉行动慢了教训沉痛 其他地方要放弃侥幸.txt,63.17633062
0123am,卫健委专家组成员王广发:感染可能因没戴防护眼镜.txt,1.09998458
0123am,武汉全市公交地铁将停运 机场火车站离汉通道关闭.txt,42.13438693
0123pm,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823
0123pm,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637
0123pm,外媒问能否进入武汉报道 外交部回应.txt,74.10132555
0123pm,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318
0123pm,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881
0124am,外媒问能否进入武汉报道 外交部回应.txt,74.10132555
0124am,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318
0124am,湖北省长发声：关闭离汉通道是个非常艰难的抉择.txt,103.1950977
0124am,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881
0124am,专家组副组长感染新冠肺炎在家治愈 他这么做到的.txt,34.12738061
0124pm,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597
0124pm,外媒问能否进入武汉报道 外交部回应.txt,74.10132555
0124pm,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318
0124pm,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881
0124pm,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562
0125am,春晚节目为武汉改变 白岩松这段话太提气.txt,146.6436041
0125am,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597
0125am,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562
0125pm,中疾控主任高福团队披露病毒发现过程.txt,235.002465
0125pm,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597
0125pm,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114
0125pm,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225
0125pm,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562
0126am,中疾控主任高福团队披露病毒发现过程.txt,235.002465
0126am,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114
0126am,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225
0126am,湖北黄冈建小汤山医院！1月27日投入使用！.txt,45.96393902
0126pm,中疾控主任高福团队披露病毒发现过程.txt,235.002465
0126pm,武汉火神山医院将整体移交军方管理.txt,58.05503884
0126pm,微视频：出发！向武汉集结.txt,74.05229974
0126pm,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114
0126pm,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225
0126pm,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696
0127am,武汉火神山医院将整体移交军方管理.txt,58.05503884
0127am,微视频：出发！向武汉集结.txt,74.05229974
0127am,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696
0127pm,武汉火神山医院将整体移交军方管理.txt,58.05503884
0127pm,微视频：出发！向武汉集结.txt,74.05229974
0127pm,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534
0127pm,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366
0127pm,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254
0127pm,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696
0128am,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534
0128am,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366
0128am,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254
0128pm,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534
0128pm,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366
0128pm,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273
0128pm,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383
0128pm,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254
0129am,全国新冠肺炎疑似病例新增数首次下降(图).txt,24.37509889
0129am,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273
0129am,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383
0129am,如何看待武汉人在外地受到歧视抵制?武汉书记回应.txt,23.9035825
0129pm,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
0129pm,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273
0129pm,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383
0129pm,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445
0129pm,防疫不力 他是目前被处分级别最高官员.txt,154.7066784
0130am,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
0130am,对话疾控专家曾光：会不会出现第二波疫情爆发？.txt,11.16553212
0130am,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445
0130am,防疫不力 他是目前被处分级别最高官员.txt,154.7066784
0130pm,督导组询问疫情 湖北黄冈卫健委主任含糊其辞.txt,7.149857276
0130pm,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
