日期,标题,分数,地区,标签
2020/1/20,武汉：新增新型冠状病毒肺炎病例136例 死亡1例.txt,87.12632275,100,1
2020/1/20,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358,100,2
2020/1/20,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457,100,2
2020/1/21,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358,100,2
2020/1/21,钟南山肯定新型肺炎人传人:病毒可能来自“野味”.txt,201.2712239,100,2
2020/1/21,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457,100,1
2020/1/21,2天增136例 官方回应新型肺炎病例突增原因.txt,29.19605358,100,2
2020/1/21,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394,100,1
2020/1/21,中方:防疫情扩散 武汉采取出境离汉人员管控措施.txt,78.4000457,100,1
2020/1/22,此前通报没提到武汉有医护人员感染?武汉市长回应.txt,70.37801444,100,1
2020/1/22,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394,100,1
2020/1/22,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823,100,1
2020/1/22,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637,100,1
2020/1/22,全国累计报告新型冠状病毒感染肺炎确诊病例291例.txt,52.56603394,100,1
2020/1/23,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823,100,1
2020/1/23,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637,100,1
2020/1/23,环球时报:武汉行动慢了教训沉痛 其他地方要放弃侥幸.txt,63.17633062,100,1
2020/1/23,卫健委专家组成员王广发:感染可能因没戴防护眼镜.txt,1.09998458,100,1
2020/1/23,武汉全市公交地铁将停运 机场火车站离汉通道关闭.txt,42.13438693,100,1
2020/1/23,截至22日19时20分 全国已确诊473例新型肺炎病例.txt,11.83008823,100,1
2020/1/23,武汉卫健委副主任临阵逃去上海?人在前线照片曝光.txt,37.92439637,100,1
2020/1/23,外媒问能否进入武汉报道 外交部回应.txt,74.10132555,0,2
2020/1/23,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318,100,1
2020/1/23,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881,100,3
2020/1/24,外媒问能否进入武汉报道 外交部回应.txt,74.10132555,0,2
2020/1/24,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318,100,1
2020/1/24,湖北省长发声：关闭离汉通道是个非常艰难的抉择.txt,103.1950977,100,1
2020/1/24,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881,100,3
2020/1/24,专家组副组长感染新冠肺炎在家治愈 他这么做到的.txt,34.12738061,100,3
2020/1/24,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597,100,1
2020/1/24,外媒问能否进入武汉报道 外交部回应.txt,74.10132555,0,2
2020/1/24,交通运输部：暂停进入武汉的道路水路客运班线.txt,72.52398318,100,1
2020/1/24,这封请战书让人泪目 曾赴小汤山的队员请战抗疫情.txt,108.6440881,100,3
2020/1/24,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562,100,2
2020/1/25,春晚节目为武汉改变 白岩松这段话太提气.txt,146.6436041,100,3
2020/1/25,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597,100,1
2020/1/25,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562,100,2
2020/1/25,中疾控主任高福团队披露病毒发现过程.txt,235.002465,100,2
2020/1/25,湖北启动重大突发公共卫生事件Ⅰ级响应.txt,14.46484597,100,1
2020/1/25,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114,100,2
2020/1/25,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225,100,2
2020/1/25,湖北卫健委：新冠肺炎进入第二波流行上升期.txt,173.4239562,100,2
2020/1/26,中疾控主任高福团队披露病毒发现过程.txt,235.002465,100,3
2020/1/26,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114,100,2
2020/1/26,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225,100,2
2020/1/26,湖北黄冈建小汤山医院！1月27日投入使用！.txt,45.96393902,100,3
2020/1/26,中疾控主任高福团队披露病毒发现过程.txt,235.002465,100,3
2020/1/26,武汉火神山医院将整体移交军方管理.txt,58.05503884,100,3
2020/1/26,微视频：出发！向武汉集结.txt,74.05229974,100,3
2020/1/26,“携新型病毒抑制剂奔赴中国”的教授什么来头？.txt,168.9093114,100,2
2020/1/26,中共中央政治局常务委员会召开会议 研究新型冠状病毒肺炎疫情防控工作.txt,316.0388225,100,2
2020/1/26,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696,100,2
2020/1/27,武汉火神山医院将整体移交军方管理.txt,58.05503884,100,3
2020/1/27,微视频：出发！向武汉集结.txt,74.05229974,100,3
2020/1/27,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696,100,2
2020/1/27,武汉火神山医院将整体移交军方管理.txt,58.05503884,100,3
2020/1/27,微视频：出发！向武汉集结.txt,74.05229974,100,3
2020/1/27,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534,100,3
2020/1/27,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366,100,1
2020/1/27,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254,100,3
2020/1/27,中央应对疫情领导小组：适当延长春节假期.txt,178.8235696,100,2
2020/1/28,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534,100,3
2020/1/28,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366,100,1
2020/1/28,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254,100,3
2020/1/28,习近平作出重要指示：紧紧依靠人民群众坚决打赢疫情防控阻击战.txt,87.15391534,100,3
2020/1/28,武汉市长解释与湖北省长口径不一致：我想的是武汉的事.txt,41.00259366,100,1
2020/1/28,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273,0,1
2020/1/28,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383,100,3
2020/1/28,好消息！最快6小时内可知是否感染新冠病毒.txt,36.8208254,100,3
2020/1/29,全国新冠肺炎疑似病例新增数首次下降(图).txt,24.37509889,100,3
2020/1/29,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273,0,1
2020/1/29,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383,100,2
2020/1/29,如何看待武汉人在外地受到歧视抵制?武汉书记回应.txt,23.9035825,100,1
2020/1/29,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088,100,3
2020/1/29,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273,0,1
2020/1/29,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383,100,3
2020/1/29,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445,100,3
2020/1/29,防疫不力 他是目前被处分级别最高官员.txt,154.7066784,100,1
2020/1/30,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088,100,3
2020/1/30,对话疾控专家曾光：会不会出现第二波疫情爆发？.txt,11.16553212,100,2
2020/1/30,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445,100,3
